Channel,Package,Position,Satellite,Language,Resolution,Encryption,Genre,Type
Paramount Network Latin America,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
MultiPremier,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
Antena 3 Internacional,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
CineLatino,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
Lifetime Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
Canal DHE,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
Az Cinema,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
Más Chic Lationamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Shopping,TV
Studio Universal América Latina,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
Sony Channel Sur,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
Warner Channel Atlántico Sur,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
A&E Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
History Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Documentary,TV
E! Sur,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,General,TV
HBO Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
HBO Xtreme Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
HBO Family Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
MTV Latino,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Music,TV
Universal TV América Latina Este,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
I-Sat,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
Az Mundo,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
Caracol TV,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
Golden Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
AMC Latin America,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
Golden Edge,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
Fox Sports 3 Latin America,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Sports,TV
Discovery Turbo América Latina,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Documentary,TV
Cinemax Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
EWTN España - Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Religious,TV
Enlace,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Religious,TV
Cinecanal Este,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
HBO 2 Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
History 2 Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Documentary,TV
